total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
1300,1112.46,13.8892,0.191622,421.233,4.66713
1301,1112.99,13.9242,0.197463,421.457,4.79594
1302,1113.52,13.9586,0.203906,421.693,4.93861
1303,1114.07,13.9924,0.210904,421.944,5.09392
1304,1114.62,14.0254,0.218402,422.211,5.26045
1305,1115.19,14.0576,0.226333,422.497,5.43648
1306,1115.76,14.0889,0.234619,422.802,5.62008
1307,1116.35,14.1193,0.243168,423.128,5.80903
1308,1116.96,14.1487,0.251877,423.475,6.00084
1309,1117.57,14.177,0.260633,423.846,6.19279
1310,1118.21,14.2042,0.26931,424.241,6.38193
1311,1118.85,14.2304,0.277774,424.659,6.56514
1312,1119.51,14.2554,0.285886,425.1,6.73921
1313,1120.19,14.2795,0.293504,425.564,6.90092
1314,1120.88,14.3025,0.300489,426.049,7.04713
1315,1121.58,14.3245,0.306709,426.553,7.17491
1316,1122.3,14.3458,0.312044,427.074,7.28166
1317,1123.02,14.3663,0.316395,427.608,7.36526
1318,1123.75,14.3863,0.319682,428.153,7.42414
1319,1124.48,14.4059,0.321856,428.704,7.45737
1320,1125.22,14.4253,0.322898,429.258,7.46477
1321,1125.95,14.4453,0.322585,429.871,7.44377
1322,1126.68,14.4656,0.320962,430.479,7.39354
1323,1127.4,14.4862,0.318137,431.075,7.31689
1324,1128.11,14.5073,0.31426,431.657,7.21752
1325,1128.82,14.5292,0.309511,432.221,7.09982
1326,1129.51,14.5518,0.304092,432.764,6.96865
1327,1130.2,14.5753,0.298219,433.286,6.82912
1328,1130.87,14.5997,0.292111,433.786,6.68641
1329,1131.53,14.6249,0.285984,434.264,6.54551
1330,1132.17,14.6511,0.280042,434.721,6.41114
1331,1132.81,14.678,0.274473,435.159,6.28754
1332,1133.44,14.7057,0.269442,435.579,6.17839
1333,1134.05,14.734,0.265089,435.985,6.08673
1334,1134.66,14.7628,0.261527,436.378,6.0149
1335,1135.27,14.792,0.258837,436.762,5.96451
1336,1135.87,14.8215,0.257072,437.138,5.93644
1337,1136.47,14.8512,0.256256,437.511,5.93086
1338,1137.07,14.8809,0.256383,437.883,5.94732
1339,1137.67,14.9105,0.257423,438.257,5.98474
1340,1138.27,14.94,0.259322,438.634,6.04156
1341,1138.88,14.9691,0.262006,439.019,6.11582
1342,1139.49,14.9979,0.265385,439.412,6.20518
1343,1140.11,15.0262,0.269358,439.815,6.30711
1344,1140.73,15.054,0.273811,440.231,6.41885
1345,1141.37,15.0811,0.278627,440.66,6.53755
1346,1142.01,15.1076,0.283684,441.105,6.66032
